,BikeTypeCat,AgeBandCat,IncomeBandCat,MaritalStatusCat,GenderCat,ChildrenAtHomeCat,CountryRegionCodeCat,HouseOwnerFlagCat,EducationCat,OccupationCat,CommuteDistanceCat
0,1,5,1,1,1,0,1,1,0,1,2
1,0,3,0,1,0,1,3,0,2,2,0
2,0,5,0,1,0,0,5,1,2,3,2
3,1,5,1,0,1,0,5,1,1,1,1
4,0,3,1,1,0,0,0,0,0,3,4
5,1,3,2,0,1,1,5,1,2,3,4
6,1,2,1,1,1,0,0,0,0,3,2
7,0,3,1,1,1,0,0,1,0,3,4
8,0,4,1,0,1,1,0,1,0,3,2
9,1,3,3,1,1,0,5,0,1,1,1
10,1,3,2,1,0,1,5,1,0,1,3
11,1,2,0,0,1,1,4,1,0,4,1
12,1,4,1,1,0,0,0,0,3,4,1
13,1,2,0,0,0,1,0,1,2,2,3
14,1,4,1,1,0,1,5,0,3,3,0
15,1,5,0,0,0,0,2,1,0,0,0
16,1,3,1,1,0,1,5,0,4,4,3
17,1,4,3,0,0,1,4,1,0,1,0
18,1,4,0,0,1,0,0,1,0,1,4
19,1,2,0,0,1,0,0,1,0,0,0
20,1,4,1,1,0,0,0,0,3,4,0
21,1,5,1,1,1,0,5,1,1,1,4
22,1,3,1,0,1,0,5,1,2,3,4
23,1,4,2,0,0,1,2,1,2,3,4
24,1,5,3,0,1,1,4,0,0,1,2
25,1,5,2,0,1,1,4,1,3,3,4
26,1,2,0,1,0,0,5,0,3,4,1
27,1,2,0,0,0,1,0,1,2,2,3
28,1,4,2,0,0,1,2,1,3,3,4
29,1,3,1,0,1,1,5,1,0,4,3
30,1,2,1,0,1,0,0,1,0,3,2
31,1,4,1,0,0,0,5,1,4,4,4
32,0,4,2,1,0,1,4,0,0,1,0
33,0,5,0,0,1,0,5,1,4,4,2
34,1,3,2,1,0,1,0,1,2,1,2
35,0,5,0,0,1,1,0,1,4,0,1
36,1,4,1,1,1,0,5,0,0,3,0
37,1,4,1,0,1,0,5,1,2,3,4
38,1,2,0,0,0,1,0,1,2,2,3
39,0,3,1,0,1,1,0,1,0,3,3
40,1,4,2,0,0,1,2,0,3,3,4
41,1,2,0,1,0,0,3,0,4,2,0
42,1,3,1,0,1,0,4,0,1,4,0
43,1,2,0,1,1,0,0,1,0,0,0
44,1,5,1,1,1,0,5,0,1,1,1
45,1,4,3,1,0,1,4,0,0,1,0
46,0,3,1,0,1,1,0,1,0,3,0
47,1,3,1,1,0,0,0,1,0,3,2
48,1,2,0,1,1,0,0,1,3,2,1
49,1,2,1,1,1,0,0,0,0,3,2
50,1,4,1,1,1,0,5,0,3,3,0
51,1,4,1,1,0,1,5,0,3,3,2
52,1,4,2,0,0,1,5,1,3,3,4
53,1,4,0,1,0,1,3,1,3,0,0
